Time,C1 True RMS (?),C1 AC RMS (?),Position,Strain
8.2,0.756780186,0.756289378,4.848265662,0.272740092
8.3,0.744036416,0.743418081,4.86111856,0.276114164
8.4,0.773041982,0.773039852,4.873781001,0.279438239
8.5,0.750682658,0.750669292,4.886373801,0.282744031
8.6,0.795762917,0.795731591,4.899070761,0.286077167
8.7,0.808235926,0.808229989,4.911897012,0.289444245
8.8,0.759126365,0.759083901,4.924745065,0.292817045
8.9,0.791963676,0.791910198,4.937196764,0.296085797
9,0.819684673,0.819591313,4.949848608,0.299407089
9.1,0.745807144,0.745650994,4.962623688,0.302760733
9.2,0.759284614,0.759282601,4.975471741,0.306133533
9.3,0.813193128,0.813192903,4.988220478,0.309480262
9.4,0.811704313,0.811701575,5.000463553,0.312694247
9.5,0.801003251,0.801001039,5.013350969,0.31607738
9.6,0.776727907,0.776718985,5.025900772,0.319371886
9.7,0.797214496,0.797146045,5.038607118,0.322707486
9.8,0.850026663,0.850025142,5.051417322,0.326070351
9.9,0.89186325,0.891841322,5.064080672,0.329394664
10,0.86984411,0.869805858,5.07661685,0.332685592
10.1,0.878319329,0.878309402,5.080014474,0.333577518
10.2,0.894825359,0.894820303,5.07979707,0.333520446
10.3,0.949759713,0.949759466,5.078078425,0.333069277
10.3,1.008147281,1.008147202,5.078078425,0.333069277
10.4,0.956751286,0.956747608,5.064876106,0.329603477
10.5,1.029005417,1.028981502,5.052234254,0.326284807
10.6,0.967565907,0.967563166,5.039283555,0.322885061
10.7,0.634626371,0.634623221,5.026453669,0.319517029
10.8,0.826155511,0.826147793,5.013574126,0.316135963
10.9,1.088719699,1.088711793,5.000705786,0.312757837
11,0.939493056,0.939464652,4.988075743,0.309442267
11.1,1.296751768,1.296723098,4.975529877,0.306148795
11.2,1.198308357,1.198211947,4.962411431,0.302705013
11.3,1.167142979,1.167129397,4.949824082,0.299400651
11.4,0.648169194,0.648150596,4.936909717,0.296010443
11.5,0.571632476,0.57161151,4.924224869,0.292680486
11.6,0.65414704,0.65412146,4.91167113,0.289384947
11.7,0.683288914,0.683282155,4.898611729,0.285956665
11.8,0.976124618,0.976122606,4.885981988,0.282641175
11.9,1.237862381,1.237735676,4.873404934,0.279339516
12,1.07360807,1.073606853,4.860556881,0.275966715
12.1,1.027960041,1.027908474,4.847708828,0.272593915
12.2,1.016318008,1.016272761,4.83505971,0.269273338
12.3,0.776193616,0.776140514,4.822514146,0.265979945
12.4,1.218230294,1.218161104,4.809566172,0.262580914
12.5,1.055198541,1.055178489,4.796826821,0.25923665
12.6,1.211782172,1.211774063,4.784129861,0.255903513
12.7,0.902534023,0.902522993,4.771432901,0.252570377
12.8,0.631318782,0.631294216,4.758736244,0.24923732
12.9,0.736497632,0.736479721,4.746039284,0.245904184
13,0.85081301,0.850806939,4.733342325,0.242571048
13.1,0.78063209,0.780612875,4.720645668,0.239237991
13.2,1.025847657,1.025817417,4.707948708,0.235904855
13.3,1.193348153,1.193277311,4.695251748,0.232571719
13.4,0.927488669,0.92748853,4.682555091,0.229238662
13.5,0.66153432,0.661501501,4.669858131,0.225905526
13.6,1.059799167,1.059685923,4.657161171,0.22257239
13.7,1.103105124,1.103051959,4.644464514,0.219239333
13.8,0.879281177,0.879208186,4.631767554,0.215906197
13.9,1.126267533,1.126196004,4.619070595,0.212573061
14,1.057909696,1.057898485,4.606373938,0.209240004
14.1,0.581123204,0.581093674,4.593676978,0.205906868
14.2,0.899266911,0.899245739,4.580980018,0.202573732
14.3,0.686043094,0.686015089,4.568283361,0.199240675
14.4,0.670751932,0.670733109,4.555586401,0.195907539
14.5,0.798871361,0.798855792,4.542738954,0.192534897
14.6,1.129295737,1.12904986,4.53005562,0.189205338
14.7,0.744831107,0.744766165,4.517579092,0.185930068
14.8,0.616191422,0.616129386,4.504797653,0.182574755
14.9,0.749569483,0.749566416,4.491949601,0.179201955
15,0.986204956,0.986191787,4.479173612,0.175848073
15.1,1.325496608,1.325473511,4.466628048,0.17255468
15.2,0.786923148,0.786885588,4.454082181,0.169261208
15.3,1.007493081,1.007464003,4.44123867,0.1658896
15.4,0.841410715,0.841357179,4.428390618,0.1625168
15.5,0.604635979,0.604617186,4.415774806,0.159204966
15.6,0.57105187,0.571026818,4.403187154,0.155900525
15.7,0.631951699,0.631923242,4.390339101,0.152527724
15.8,0.80334287,0.803326323,4.377517694,0.149161919
15.9,1.089292579,1.089290264,4.364956687,0.145864472
16,1.194032793,1.193974789,4.352410821,0.142571
16.1,0.852133692,0.852034487,4.339508568,0.139183972
16.2,0.743668111,0.743668078,4.326882159,0.135869356
16.3,1.053278126,1.053156549,4.314336292,0.132575884
16.4,1.238430122,1.238402471,4.301515793,0.129210317
16.5,0.8278067,0.82777942,4.28866774,0.125837517
16.6,1.021073114,1.020998717,4.27606616,0.122529419
16.7,0.883448736,0.883403251,4.263520596,0.119236026
