#Digilent WaveForms Logger,,,,,,
#Device Name: Discovery2NI,,,,,,
#Serial Number: SN:210321AD0E05,,,,,,
#Date Time: 2020-04-07 14:51:14.905,,,,,,
,,,,,,
Time (s),C1 DC (V),C1 True RMS (Ṽ),C1 AC RMS (Ṽ),C2 DC (V),C2 True RMS (Ṽ),C2 AC RMS (Ṽ)
6.4,-0.000829047,0.001944553,0.001758968,0.390597636,0.390803779,0.012691738
6.5,-0.000942384,0.002014507,0.001780492,0.363198492,0.363473655,0.014140493
6.6,-0.001593394,0.002310035,0.00167253,0.327901386,0.32840851,0.018243646
6.7,-0.001495017,0.002272668,0.001711708,0.294398149,0.294854525,0.016398809
6.8,-0.001295543,0.002153817,0.001720609,0.254311599,0.255034678,0.019191069
6.9,-0.001063428,0.002104357,0.001815885,0.193187443,0.195137609,0.027519057
7,-0.000847181,0.001982148,0.001791981,0.08171972,0.082323729,0.009954081
7.1,-0.001191273,0.002071878,0.001695154,0.078114605,0.078226776,0.004187721
7.2,-0.001251568,0.002122845,0.001714657,0.077713122,0.078058032,0.007329869
7.3,-0.000805472,0.001942915,0.001768088,0.077847102,0.077952337,0.004049128
7.4,-0.000867128,0.001978342,0.00177818,0.077467568,0.078205439,0.010717581
7.5,-0.001379413,0.002171243,0.001676758,0.076771147,0.077125709,0.00738688
7.6,-0.001346772,0.002172553,0.001704755,0.076170294,0.076393945,0.005841332
7.7,-0.001093349,0.002048231,0.001732004,0.075627515,0.075768806,0.004625031
7.8,-0.002183201,0.002836837,0.00181143,0.075153326,0.075612494,0.00832026
7.9,-0.001660943,0.002435092,0.001780715,0.074652616,0.075333902,0.010108596
8,-0.001270609,0.002108266,0.001682362,0.07435722,0.075055551,0.010214676
8.1,-0.001560752,0.002341661,0.001745688,0.07394019,0.074964678,0.012351162
8.2,-0.001731212,0.002402904,0.001666389,0.07340427,0.074201623,0.010848689
8.3,-0.001580247,0.002286071,0.001651951,0.072308652,0.073097598,0.010710635
8.4,-0.001437895,0.002230762,0.001705508,0.071733406,0.072125946,0.007514684
8.5,-0.001177672,0.002086752,0.001722679,0.070447564,0.070629562,0.005067131
