"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(Linear Waveform)","Total Cycle Count(Rotary Waveform)","Position(Linear:Position) (in)","Force(Linear:Load) (lb)","Rotation(Rotary:Rotation) (deg)","Torque(Rotary:Torque) (N·m)","Force(Linear:External Load Cell) (lbf)",
0.195,0.195,1,1,1,0,0,0.341516580124283,0.208765264659218,0.000697416253387928,-0.148161683196572,0.549007167336025,
0.205,0.205,1,1,1,0,0,0.34150027825413,1.25812364395137,-0.000123088248074055,-0.0548803484781483,0.548751518136907,
0.215,0.215,1,1,1,0,0,0.341516013880165,0.666044640764127,0.000292109325528145,-0.113302586573351,0.551869274207683,
0.225,0.225,1,1,1,0,0,0.34149720861496,0.299476081833593,0.000505638308823109,-0.127418584556945,0.552065737590393,
0.235,0.235,1,1,1,0,0,0.341493393917739,0.765081481609332,0.000283014960587025,-0.0698560386236954,0.548513005350407,
0.245,0.245,1,1,1,0,0,0.341450120946144,-0.0475533298246774,-2.55228951573372E-05,-0.149208676710823,0.547274527008012,
0.255,0.255,1,1,1,0,0,0.341384555837665,0.371988856219598,0.000639916397631168,-0.114206473436407,0.542120005851584,
0.265,0.265,1,1,1,0,0,0.341368760606986,0.872742369344012,0.000235699117183685,-0.10234440520912,0.538928349001391,
0.275,0.275,1,1,1,0,0,0.34135725691068,0.179819759548545,0.000139432959258556,-0.131584461263397,0.54000095804556,
0.285,0.285,1,1,1,0,0,0.341351236841629,0.0468641511315662,1.22794881463051E-05,-0.142060709934635,0.54154952163694,
0.295,0.295,1,1,1,0,0,0.341291065953439,1.2307241342874,0.000235489569604397,-0.11549127653279,0.545353991503599,
0.312,0.312,1,1,1,0,0,0.341254081271793,1.07182187939734,0.000480073504149914,-0.108314898877321,0.54700979737286,
0.322,0.322,1,1,1,0,0,0.341234560750859,-0.283829862854851,-1.59256160259247E-06,-0.155645319250192,0.546913032521172,
0.337,0.337,1,1,1,0,0,0.341169263863279,1.24026087728397,0.000630151480436325,-0.111949386915736,0.538150225482764,
0.347,0.347,1,1,1,0,0,0.341143186831498,-0.239163632960775,0.000251163728535175,-0.133556386736468,0.537910036308073,
0.357,0.357,1,1,1,0,0,0.341096695209122,0.757258372119961,8.02567228674889E-05,-0.143748526614895,0.538703759550144,
0.375,0.375,1,1,1,0,0,0.34102332189227,0.388883047426406,0.000566700473427773,-0.123691498097169,0.539906055847418,
0.385,0.385,1,1,1,0,0,0.34098803594298,0.854954108481275,0.000481121242046356,-0.115704884254793,0.535753828563817,
0.395,0.395,1,1,1,0,0,0.340971674468183,-0.0370293849163567,3.08873131871223E-05,-0.107893996962044,0.536312624627463,
